name,start datetime,venue names,attractions names,public start datetime,public end datetime,presales start datetime,presales end datetime,url,artist,id,price ranges,ticket limit,timezone,TBA,TBD
Hamilton (NY),2022-07-09 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-09 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-09-2022/event/03005AA3A47D3960,K8vZ917K2sV,vvG1GZpnC0LKPO,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-07 16:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-07 15:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-07-2022/event/03005AA3A2E32137,K8vZ917K2sV,vvG1GZpnCxzw7M,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-16 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-16 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-16-2022/event/03005AA3A47F3968,K8vZ917K2sV,vvG1GZpnC0LSPI,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-13 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-13 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-13-2022/event/03005AA3A2E4213E,K8vZ917K2sV,vvG1GZpnCxye7X,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-02 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-02 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-02-2022/event/03005AA3A47C395A,K8vZ917K2sV,vvG1GZpnC0LdPQ,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-06-29 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-06-29 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-06-29-2022/event/03005AA3A2E1212C,K8vZ917K2sV,vvG1GZpnCxz37i,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-06 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-06 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-06-2022/event/03005AA3A2E22132,K8vZ917K2sV,vvG1GZpnCxzx7w,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-06-22 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-06-22 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-06-22-2022/event/03005AA3A2E01FB3,K8vZ917K2sV,vvG1GZpnCxzvXS,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-03 12:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-03 11:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-03-2022/event/03005AA3A47C395C,K8vZ917K2sV,vvG1GZpnC0LdPj,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-14 16:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-14 15:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-14-2022/event/03005AA3A2E62140,K8vZ917K2sV,vvG1GZpnCxyxAZ,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-20 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-20 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-20-2022/event/03005AA3A2E72144,K8vZ917K2sV,vvG1GZpnCxywA7,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-08-10 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-08-10 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-08-10-2022/event/03005AA3A2EB30B4,K8vZ917K2sV,vvG1GZpnCxBSeV,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-08 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-08 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-08-2022/event/03005AA3A47D395E,K8vZ917K2sV,vvG1GZpnC0LKPr,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-09-03 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-09-03 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-09-03-2022/event/03005AA3A56B39DC,K8vZ917K2sV,vvG1GZpnCPQSEj,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-15 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-15 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-15-2022/event/03005AA3A47E3966,K8vZ917K2sV,vvG1GZpnC0LNPJ,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-08-06 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-08-06 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-08-06-2022/event/03005AA3A4833982,K8vZ917K2sV,vvG1GZpnC0OSJe,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-09-10 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-09-10 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-09-10-2022/event/03005AA3A58839EC,K8vZ917K2sV,vvG1GZpnCPxdEi,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
