Date,User,Tweet,Discord,Url
2022-03-01 08:45:37,Zett_Jukassa,"RT @padmeswifey: We don’t talk about this enough, why did they feel the need to show us this, and engrave this in my memory AND traumatize…",,https://twitter.com/Zett_Jukassa/status/1498580204880494592
2022-03-01 08:44:40,teju_ash,looks like Sivaangi darling is ready for her next ship😍😍😍\n\nDon’t they look magical? And the height difference 🥰🥰 the way they’re comfortable around each other! The only man in the show she hasn’t addressed as anna😜 and we all know why🙈🙈\n\n#Sangi supremacy! RIP #Ashaangi https://t.co/3Dno2KZiD9,,https://twitter.com/teju_ash/status/1498579965201108994
2022-03-01 08:43:58,samn_crosby,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/samn_crosby/status/1498579787320737793
2022-03-01 08:43:11,talk28me,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/talk28me/status/1498579590175993857
2022-03-01 08:41:13,suckerforlhl,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/suckerforlhl/status/1498579097135595522
2022-03-01 08:40:41,JerKyTV,@DuhVera_ Love u2 m8. Glad ur back to playing BRs again just a matter of time,,https://twitter.com/JerKyTV/status/1498578962938740743
2022-03-01 08:40:24,louiefineline,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/louiefineline/status/1498578892038500352
2022-03-01 08:39:37,KING_Quadrez,"RT @BMFluellen1: Actually, Black people can be PREJUDICE; however, we can't be racist. Racism requires power within the structure set up by…",,https://twitter.com/KING_Quadrez/status/1498578694776160256
2022-03-01 08:38:05,canyonbluex,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/canyonbluex/status/1498578307901759489
2022-03-01 08:35:49,91NEWANGEL,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/91NEWANGEL/status/1498577738378055684
